,entity
0,"ANGLO-CARIBBEAN CO., LTD."
1,BANCO NACIONAL DE CUBA
2,BOUTIQUE LA MAISON
3,CASA DE CUBA
4,"CECOEX, S.A."
5,CIMEX
6,CIMEX IBERICA
7,"CIMEX, S.A."
8,"COMERCIAL IBEROAMERICANA, S.A."
9,"COMERCIAL CIMEX, S.A."
10,"COMERCIAL DE RODAJES Y MAQUINARIA, S.A."
11,COMERCIALIZACION DE PRODUCTOS VARIOS
12,COMPANIA DE IMPORTACION Y EXPORTACION IBERIA
13,"CORPORACION CIMEX, S.A."
14,COTEI
15,"CRYMSA - ARGENTINA, S.A."
16,CUBACANCUN CIGARS AND GIFT SHOPS
17,CUBAEXPORT
18,CUBAFRUTAS
19,CUBAN CIGARS TRADE
20,CUBANATUR
21,CUBATABACO
22,"CUMEXINT, S.A."
23,"DELVEST HOLDING, S.A."
24,EDICIONES CUBANAS
25,"EDYJU, S.A."
26,EMPRESA CUBANA DE AVIACION
27,EMPRESA CUBANA DE PESCADOS Y MARISCOS
28,EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL
29,ETCO INTERNATIONAL COMMODITIES LTD.
30,"ETCO INTERNATIONAL COMPANY, LIMITED"
31,"GALAX TRADING CO., LTD."
32,HAVIN BANK LIMITED
33,HAVANATUR
34,INSTITUTO NACIONAL DE TURISMO DE CUBA
35,INTERCONSULT
36,"KAVE, S.A."
37,LA EMPRESA CUBANA DE FLETES
38,"LEVERAGE, S.A."
39,NIREF
40,NORDSTRAND LTD.
41,NORDSTRAND MARITIME AND TRADING COMPANY
42,PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION
43,"PESCABRAVA, S.A."
44,PRELASA
45,PRENSA LATINA CANADA LTD.
46,PRENSA LATINA
47,"SERVINAVES, S.A."
48,"TROBER, S.A."
49,TROPIC TOURS GMBH
50,"VIAJES GUAMA, S.A."
51,VINALES TOURS
52,"ABBAS, Abu"
53,"AL RAHMAN, Shaykh Umar Abd"
54,"AL ZAWAHIRI, Dr. Ayman"
55,"AL-ZOMOR, Abboud Abdul Latif Hassan"
56,"AWDA, Abd Al Aziz"
57,"FADLALLAH, Shaykh Muhammad Husayn"
58,"HAWATMA, Nayif"
59,"ISLAMBOULI, Mohammad Shawqi"
60,"JABRIL, Ahmad"
61,"NAJI, Talal Muhammad Rashid"
62,"NASRALLAH, Hasan"
63,"TUFAYLI, Subhi"
64,"YASSIN, Sheik Ahmed Ismail"
65,COBALT REFINERY CO. INC.
66,LA COMPANIA GENERAL DE NIQUEL
67,INTERNATIONAL COBALT CO. INC.
68,MOA NICKEL SA
69,"ABU MARZOOK, Mousa Mohammed"
70,"RODRIGUEZ OREJUELA, Gilberto Jose"
71,"RODRIGUEZ OREJUELA, Miguel Angel"
72,MAR AZUL
73,EBANO
74,TIFON
75,"ABDALLAH, Ramadan"
76,BANK MARKAZI JOMHOURI ISLAMI IRAN
77,BANK MASKAN
78,BANK REFAH KARGARAN
79,BANK KESHAVARZI IRAN
80,BANK SADERAT PLC
81,ABU SAYYAF GROUP
82,ARMED ISLAMIC GROUP
83,AUM SHINRIKYO
84,EUZKADI TA ASKATASUNA
85,GAMA'A AL-ISLAMIYYA
86,HAMAS
87,HARAKAT UL-MUJAHIDEEN
88,HIZBALLAH
89,KAHANE CHAI
90,KURDISTAN WORKERS' PARTY
91,LIBERATION TIGERS OF TAMIL EELAM
92,NATIONAL LIBERATION ARMY
93,PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION
94,PALESTINE LIBERATION FRONT - ABU ABBAS FACTION
95,POPULAR FRONT FOR THE LIBERATION OF PALESTINE
96,POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND
97,REVOLUTIONARY PEOPLE'S LIBERATION PARTY/FRONT
98,REVOLUTIONARY PEOPLE'S STRUGGLE
99,SHINING PATH
100,DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION
101,"BIN LADIN, Usama bin Muhammad bin Awad"
102,AL QA'IDA
103,"AL-MASRI, Abu Hafs"
104,"MUSA, Rifa'i Ahmad Taha"
105,COLOMBIANA DE CERDOS LTDA.
106,DISTRIBUIDORA DE ELEMENTOS PARA LA CONSTRUCCION S.A.
107,MATADERO METROPOLITANO LTDA.
108,"OMAR, Mohammed"
109,TALIBAN
110,COMERCIALIZADORA DE CARNES LTDA.
111,SERVIAUTOS UNO A 1A LIMITADA
112,"AMEZCUA CONTRERAS, Jose de Jesus"
113,"AMEZCUA CONTRERAS, Luis Ignacio"
114,"ARELLANO FELIX, Ramon Eduardo"
115,"CARO QUINTERO, Rafael"
116,"CARRILLO FUENTES, Vicente"
117,"CHANG, Chi Fu"
118,"HEATH, Noel Timothy"
119,"OGUNGBUYI, Oluwole A."
120,"OGUNGBUYI, Abeni O."
121,"WEI, Hsueh Kang"
122,"ARELLANO FELIX, Benjamin Alberto"
123,"HENAO MONTOYA, Arcangel de Jesus"
124,AGRICOLA GANADERA HENAO GONZALEZ Y CIA. S.C.S.
125,COMPANIA AGROINVERSORA HENAGRO LTDA.
126,DESARROLLOS COMERCIALES E INDUSTRIALES HENAO GONZALEZ Y CIA. S.C.S.
127,MAQUINARIA TECNICA Y TIERRAS LTDA.
128,ORGANIZACION EMPRESARIAL A DE J HENAO M E HIJOS Y CIA. S.C.S.
129,"GONZALEZ BENITEZ, Olga Patricia"
130,ISLAMIC MOVEMENT OF UZBEKISTAN
131,CAVIEDES DILEO Y CIA. S.C.S.
132,"PATINO FOMEQUE, Victor Julio"
133,INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A
134,GALAPAGOS S.A
135,"DUQUE BOTERO, Jorge Alirio"
136,"ECHEVERRY HERRERA, Hernando"
137,NEW IRISH REPUBLICAN ARMY
138,"AFGHAN, Sher"
139,"CARDENAS GUILLEN, Osiel"
140,"CARO QUINTERO, Miguel Angel"
141,"CHANG, Ping Yun"
142,"GILBOA, Joseph"
143,"GUZMAN LOERA, Joaquin"
144,"HAMIEH, Jamiel"
145,"HIGUERA GUERRERO, Ismael"
146,"KHAN, Nasir Ali"
147,"MALHERBE DE LEON, Oscar"
148,"RAMON MAGANA, Alcides"
149,UNITED SELF-DEFENSE FORCES OF COLOMBIA
150,ASBAT AL-ANSAR
151,SALAFIST GROUP FOR CALL AND COMBAT
152,LIBYAN ISLAMIC FIGHTING GROUP
153,AL-ITIHAAD AL-ISLAMIYA
154,ISLAMIC ARMY OF ADEN
155,"AL-ADL, Sayf"
156,"AL-WALID, Mahfouz Ould"
157,"HUSAYN, Zayn al-Abidin Muhammad"
158,"AL-IRAQI, Abd al-Hadi"
159,"SHIHATA, Thirwat Salah"
160,"AHMAD, Tariq Anwar al-Sayyid"
161,MAKHTAB AL-KHIDAMAT/AL KIFAH
162,WAFA HUMANITARIAN ORGANIZATION
163,AL RASHID TRUST
164,MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY
165,"ABDULLAH, Abdullah Ahmed"
166,"ALI, Ahmed Mohammed Hamed"
167,"AL-MUGHASSIL, Ahmad Ibrahim"
168,"AL-NASSER, Abdelkarim Hussein Mohamed"
169,"AL-YACOUB, Ibrahim Salih Mohammed"
170,"ATWA, Ali"
171,"EL-HOORIE, Ali Saed Bin Ali"
172,"FADHIL, Mustafa Mohamed"
173,"GHAILANI, Ahmed Khalfan"
174,"IZZ-AL-DIN, Hasan"
175,"MOHAMMED, Fazul Abdullah"
176,"MOHAMMED, Khalid Shaikh"
177,"YASIN, Abdul Rahman"
178,AL-HAMATI SWEETS BAKERIES
179,JAISH-I-MOHAMMED
180,JAM'YAH TA'AWUN AL-ISLAMIA
181,RABITA TRUST
182,"AGHA, Haji Abdul Manan"
183,"AL-AHDAL, Mohammad Hamdi Mohammad Sadiq"
184,"AL-HAQ, Amin"
185,"HAMDAN, Salim Ahmad Salim"
186,"AL-SHARIF, Sa'd Abdullah Hussein"
187,"BIN MARWAN, Bilal"
188,"BIN MUHAMMAD, Ayadi Chafiq"
189,"DARKAZANLI, Mamoun"
190,"HIJAZI, Riad"
191,"UTHMAN, Omar Mahmoud"
192,"AWEYS, Hassan Dahir"
193,AL-AQSA ISLAMIC BANK
194,BEIT EL-MAL HOLDINGS
195,HOLY LAND FOUNDATION FOR RELIEF AND DEVELOPMENT
196,UMMAH TAMEER E-NAU
197,"MAHMOOD, Sultan Bashir-Ud-Din"
198,"MAJEED, Abdul"
199,"TUFAIL, Mohammed"
200,LASHKAR E-TAYYIBA
201,CONTINUITY IRA
202,FIRST OF OCTOBER ANTIFASCIST RESISTANCE GROUP
203,LOYALIST VOLUNTEER FORCE
204,ORANGE VOLUNTEERS
205,RED HAND DEFENDERS
206,ULSTER DEFENCE ASSOCIATION
